Geografi;År;Kjønn;Alder;Utdanningsnivå;andel (prosent);FLAGG
Vestfold;2021;kjønn samlet;30-39 år;grunnskole;22.14274206541;
Vestfold;2021;kjønn samlet;40-44 år;grunnskole;18.347748664462;
Vestfold;2021;kjønn samlet;45-74 år;grunnskole;18.7527858112801;
Vestfold;2021;kjønn samlet;75 år +;grunnskole;24.2629205688519;
Vestfold;2021;menn;25 år +;grunnskole;20.8241752048603;
Vestfold;2021;menn;25-29 år;grunnskole;28.7386394932526;
Vestfold;2021;menn;30-39 år;grunnskole;25.4809529876417;
Vestfold;2021;menn;40-44 år;grunnskole;20.9620698317006;
Vestfold;2021;menn;45-74 år;grunnskole;18.4011402460752;
Vestfold;2021;menn;75 år +;grunnskole;19.2307692307692;
Vestfold;2021;kvinner;25 år +;grunnskole;20.2866653526926;
Vestfold;2021;kvinner;25-29 år;grunnskole;22.6691323778702;
Vestfold;2021;kvinner;30-39 år;grunnskole;18.7259568364087;
Vestfold;2021;kvinner;40-44 år;grunnskole;15.6660654470497;
Vestfold;2021;kvinner;45-74 år;grunnskole;19.0968377014889;
Vestfold;2021;kvinner;75 år +;grunnskole;28.1750924784217;
Vestfold;2022;kjønn samlet;25 år +;grunnskole;20.0774018381568;
Vestfold;2022;kjønn samlet;25-29 år;grunnskole;24.2270691047955;
Vestfold;2022;kjønn samlet;30-39 år;grunnskole;21.5590857716941;
Vestfold;2022;kjønn samlet;40-44 år;grunnskole;18.9817724701446;
Vestfold;2022;kjønn samlet;45-74 år;grunnskole;18.4517682901725;
Vestfold;2022;kjønn samlet;75 år +;grunnskole;23.045386781514;
Vestfold;2022;menn;25 år +;grunnskole;20.514360719927;
Vestfold;2022;menn;25-29 år;grunnskole;27.5731690239462;
Vestfold;2022;menn;30-39 år;grunnskole;24.8364791627733;
Vestfold;2022;menn;40-44 år;grunnskole;22.0372670807453;
Vestfold;2022;menn;45-74 år;grunnskole;18.2140030821775;
Vestfold;2022;menn;75 år +;grunnskole;18.4843926288078;
Vestfold;2022;kvinner;25 år +;grunnskole;19.6540389071509;
Vestfold;2022;kvinner;25-29 år;grunnskole;20.5373687461396;
Vestfold;2022;kvinner;30-39 år;grunnskole;18.2290018355592;
Vestfold;2022;kvinner;40-44 år;grunnskole;15.852417302799;
Vestfold;2022;kvinner;45-74 år;grunnskole;18.6841141275591;
Vestfold;2022;kvinner;75 år +;grunnskole;26.6355831853168;
Vestfold;2023;kjønn samlet;25 år +;grunnskole;19.8634278002699;
Vestfold;2023;kjønn samlet;25-29 år;grunnskole;23.0575326215896;
Vestfold;2023;kjønn samlet;30-39 år;grunnskole;21.8264248704663;
Vestfold;2023;kjønn samlet;40-44 år;grunnskole;18.9659442724458;
Vestfold;2023;kjønn samlet;45-74 år;grunnskole;18.3170034700959;
Vestfold;2023;kjønn samlet;75 år +;grunnskole;22.2151697873691;
Vestfold;2023;menn;25 år +;grunnskole;20.3894364805831;
Vestfold;2023;menn;25-29 år;grunnskole;26.4547260857224;
Vestfold;2023;menn;30-39 år;grunnskole;25.067138671875;
Vestfold;2023;menn;40-44 år;grunnskole;21.9906839911743;
Vestfold;2023;menn;45-74 år;grunnskole;18.2361579350142;
Vestfold;2023;menn;75 år +;grunnskole;17.8529859432357;
Vestfold;2023;kvinner;25 år +;grunnskole;19.3543932698844;
Vestfold;2023;kvinner;25-29 år;grunnskole;19.3418193107731;
Vestfold;2023;kvinner;30-39 år;grunnskole;18.5162094763092;
Vestfold;2023;kvinner;40-44 år;grunnskole;15.8783783783784;
Vestfold;2023;kvinner;45-74 år;grunnskole;18.3957607140698;
Vestfold;2023;kvinner;75 år +;grunnskole;25.685590141748;
Vestfold;2024;kjønn samlet;25 år +;grunnskole;19.5218740486351;
Vestfold;2024;kjønn samlet;25-29 år;grunnskole;22.1923335574983;
Vestfold;2024;kjønn samlet;30-39 år;grunnskole;21.1230110159119;
Vestfold;2024;kjønn samlet;40-44 år;grunnskole;19.0043316454152;
Vestfold;2024;kjønn samlet;45-74 år;grunnskole;18.2990030527074;
Vestfold;2024;kjønn samlet;75 år +;grunnskole;21.0880195599022;
Vestfold;2024;menn;25 år +;grunnskole;20.1662140141228;
Vestfold;2024;menn;25-29 år;grunnskole;25.480907263853;
Vestfold;2024;menn;30-39 år;grunnskole;24.62253895398;
Vestfold;2024;menn;40-44 år;grunnskole;22.0846984589249;
Vestfold;2024;menn;45-74 år;grunnskole;18.3281593717234;
Vestfold;2024;menn;75 år +;grunnskole;16.9701133631055;
Vestfold;2024;kvinner;25 år +;grunnskole;18.8987297885082;
Vestfold;2024;kvinner;25-29 år;grunnskole;18.6224092254948;
Vestfold;2024;kvinner;30-39 år;grunnskole;17.5288425753629;
Vestfold;2024;kvinner;40-44 år;grunnskole;15.8895705521472;
Vestfold;2024;kvinner;45-74 år;grunnskole;18.2706164931946;
Vestfold;2024;kvinner;75 år +;grunnskole;24.3875584916047;
Horten;2012;kjønn samlet;25 år +;grunnskole;21.8678305634827;
Horten;2012;kjønn samlet;25-29 år;grunnskole;26.3888888888889;
Horten;2012;kjønn samlet;30-39 år;grunnskole;18.450184501845;
Horten;2012;kjønn samlet;40-44 år;grunnskole;17.6348547717842;
Horten;2012;kjønn samlet;45-74 år;grunnskole;20.546516478932;
Horten;2012;kjønn samlet;75 år +;grunnskole;34.247258225324;
Horten;2012;menn;25 år +;grunnskole;19.0766751093714;
Horten;2012;menn;25-29 år;grunnskole;30.5354558610709;
Horten;2012;menn;30-39 år;grunnskole;19.0694626474443;
Horten;2012;menn;40-44 år;grunnskole;17.7824267782427;
Horten;2012;menn;45-74 år;grunnskole;17.0524527500531;
Horten;2012;menn;75 år +;grunnskole;22.636815920398;
Horten;2012;kvinner;25 år +;grunnskole;24.5073489384867;
Horten;2012;kvinner;25-29 år;grunnskole;22.1565731166913;
Horten;2012;kvinner;30-39 år;grunnskole;17.8006872852234;
Horten;2012;kvinner;40-44 år;grunnskole;17.4897119341564;
Horten;2012;kvinner;45-74 år;grunnskole;23.9188358270137;
Horten;2012;kvinner;75 år +;grunnskole;42.0133111480865;
Horten;2013;kjønn samlet;25 år +;grunnskole;21.5823735603405;
Horten;2013;kjønn samlet;25-29 år;grunnskole;27.7126099706745;
Horten;2013;kjønn samlet;30-39 år;grunnskole;18.4265010351967;
Horten;2013;kjønn samlet;40-44 år;grunnskole;17.4792531120332;
Horten;2013;kjønn samlet;45-74 år;grunnskole;20.1848998459168;
Horten;2013;kjønn samlet;75 år +;grunnskole;32.470703125;
Horten;2013;menn;25 år +;grunnskole;19.1206778108541;
Horten;2013;menn;25-29 år;grunnskole;31.5107913669065;
Horten;2013;menn;30-39 år;grunnskole;20.3791469194313;
Horten;2013;menn;40-44 år;grunnskole;17.1310629514964;
Horten;2013;menn;45-74 år;grunnskole;16.953781512605;
Horten;2013;menn;75 år +;grunnskole;21.2484993997599;
Horten;2013;kvinner;25 år +;grunnskole;23.9095140166685;
Horten;2013;kvinner;25-29 år;grunnskole;23.7668161434978;
Horten;2013;kvinner;30-39 år;grunnskole;16.3969035890218;
Horten;2013;kvinner;40-44 år;grunnskole;17.8310740354536;
Horten;2013;kvinner;45-74 år;grunnskole;23.2763819095477;
Horten;2013;kvinner;75 år +;grunnskole;40.1646090534979;
Horten;2014;kjønn samlet;25 år +;grunnskole;21.3634155556755;
Horten;2014;kjønn samlet;25-29 år;grunnskole;27.7004638833665;
Horten;2014;kjønn samlet;30-39 år;grunnskole;19.2371475953566;
Horten;2014;kjønn samlet;40-44 år;grunnskole;15.4327424400417;
Horten;2014;kjønn samlet;45-74 år;grunnskole;19.9578143832865;
Horten;2014;kjønn samlet;75 år +;grunnskole;31.7989666510099;
Horten;2014;menn;25 år +;grunnskole;18.9647528264243;
Horten;2014;menn;25-29 år;grunnskole;31.439894319683;
Horten;2014;menn;30-39 år;grunnskole;21.025641025641;
Horten;2014;menn;40-44 år;grunnskole;14.2550911039657;
Horten;2014;menn;45-74 år;grunnskole;16.9595422966898;
Horten;2014;menn;75 år +;grunnskole;20.7289293849658;
Horten;2014;kvinner;25 år +;grunnskole;23.6401893740137;
Horten;2014;kvinner;25-29 år;grunnskole;23.936170212766;
Horten;2014;kvinner;30-39 år;grunnskole;17.319587628866;
Horten;2014;kvinner;40-44 år;grunnskole;16.5482233502538;
Horten;2014;kvinner;45-74 år;grunnskole;22.856578427499;
Horten;2014;kvinner;75 år +;grunnskole;39.568345323741;
Horten;2015;kjønn samlet;25 år +;grunnskole;21.3860544217687;
Horten;2015;kjønn samlet;25-29 år;grunnskole;30.3884711779449;
Horten;2015;kjønn samlet;30-39 år;grunnskole;19.438092126756;
Horten;2015;kjønn samlet;40-44 år;grunnskole;14.8698884758364;
Horten;2015;kjønn samlet;45-74 år;grunnskole;19.6894778481013;
Horten;2015;kjønn samlet;75 år +;grunnskole;31.0998151571165;
Horten;2015;menn;25 år +;grunnskole;19.5188330067494;
Horten;2015;menn;25-29 år;grunnskole;34.3230403800475;
Horten;2015;menn;30-39 år;grunnskole;21.5413771320278;
Horten;2015;menn;40-44 år;grunnskole;14.712389380531;
Horten;2015;menn;45-74 år;grunnskole;16.9750603378922;
Horten;2015;menn;75 år +;grunnskole;21.0169491525424;
Horten;2015;kvinner;25 år +;grunnskole;23.1671858774663;
Horten;2015;kvinner;25-29 år;grunnskole;25.9946949602122;
Horten;2015;kvinner;30-39 år;grunnskole;17.1853856562923;
Horten;2015;kvinner;40-44 år;grunnskole;15.0153217568948;
Horten;2015;kvinner;45-74 år;grunnskole;22.3151750972763;
Horten;2015;kvinner;75 år +;grunnskole;38.0766223612197;
Horten;2016;kjønn samlet;25 år +;grunnskole;20.8739406779661;
Horten;2016;kjønn samlet;25-29 år;grunnskole;27.9459111397296;
Horten;2016;kjønn samlet;30-39 år;grunnskole;20.266753415745;
Horten;2016;kjønn samlet;40-44 år;grunnskole;15.0193263390392;
Horten;2016;kjønn samlet;45-74 år;grunnskole;19.0940087676571;
Horten;2016;kjønn samlet;75 år +;grunnskole;29.9494717501148;
Horten;2016;menn;25 år +;grunnskole;19.1740732711901;
Horten;2016;menn;25-29 år;grunnskole;31.030303030303;
Horten;2016;menn;30-39 år;grunnskole;22.6932668329177;
Horten;2016;menn;40-44 år;grunnskole;14.6620847651776;
Horten;2016;menn;45-74 år;grunnskole;16.7462211614956;
Horten;2016;menn;75 år +;grunnskole;19.9776785714286;
Horten;2016;kvinner;25 år +;grunnskole;22.4984462399006;
Horten;2016;kvinner;25-29 år;grunnskole;24.4505494505495;
Horten;2016;kvinner;30-39 år;grunnskole;17.6190476190476;
Horten;2016;kvinner;40-44 år;grunnskole;15.3518123667377;
Horten;2016;kvinner;45-74 år;grunnskole;21.3481000572847;
Horten;2016;kvinner;75 år +;grunnskole;36.9242779078845;
Horten;2017;kjønn samlet;25 år +;grunnskole;20.848795275179;
Horten;2017;kjønn samlet;25-29 år;grunnskole;28.5798122065728;
Horten;2017;kjønn samlet;30-39 år;grunnskole;21.4986910994764;
Horten;2017;kjønn samlet;40-44 år;grunnskole;14.1460609545716;
Horten;2017;kjønn samlet;45-74 år;grunnskole;18.8760806916427;
Horten;2017;kjønn samlet;75 år +;grunnskole;28.5071942446043;
Horten;2017;menn;25 år +;grunnskole;19.3006843455945;
Horten;2017;menn;25-29 år;grunnskole;31.2017640573319;
Horten;2017;menn;30-39 år;grunnskole;24.5259165613148;
Horten;2017;menn;40-44 år;grunnskole;12.9300118623962;
Horten;2017;menn;45-74 år;grunnskole;16.6208791208791;
Horten;2017;menn;75 år +;grunnskole;19.2640692640693;
Horten;2017;kvinner;25 år +;grunnskole;22.3290052141908;
Horten;2017;kvinner;25-29 år;grunnskole;25.5959849435383;
Horten;2017;kvinner;30-39 år;grunnskole;18.2496607869742;
Horten;2017;kvinner;40-44 år;grunnskole;15.2901785714286;
Horten;2017;kvinner;45-74 år;grunnskole;21.0387655250282;
Horten;2017;kvinner;75 år +;grunnskole;35.0769230769231;
Horten;2018;kjønn samlet;25 år +;grunnskole;20.4940197607904;
Horten;2018;kjønn samlet;25-29 år;grunnskole;27.8728606356968;
Horten;2018;kjønn samlet;30-39 år;grunnskole;21.8589743589744;
Horten;2018;kjønn samlet;40-44 år;grunnskole;14.2768466790813;
Horten;2018;kjønn samlet;45-74 år;grunnskole;18.4347496924387;
Horten;2018;kjønn samlet;75 år +;grunnskole;27.2212543554007;
Horten;2018;menn;25 år +;grunnskole;19.0880169671262;
Horten;2018;menn;25-29 år;grunnskole;28.6031042128603;
Horten;2018;menn;30-39 år;grunnskole;24.6566791510612;
Horten;2018;menn;40-44 år;grunnskole;15.1592356687898;
Horten;2018;menn;45-74 år;grunnskole;16.4086687306502;
Horten;2018;menn;75 år +;grunnskole;18.4994861253854;
Horten;2018;kvinner;25 år +;grunnskole;21.8469387755102;
Horten;2018;kvinner;25-29 år;grunnskole;26.9754768392371;
Horten;2018;kvinner;30-39 år;grunnskole;18.9064558629776;
Horten;2018;kvinner;40-44 år;grunnskole;13.4382566585956;
Horten;2018;kvinner;45-74 år;grunnskole;20.3741433598815;
Horten;2018;kvinner;75 år +;grunnskole;33.6356764928194;
Horten;2019;kjønn samlet;25 år +;grunnskole;20.1667267020018;
Horten;2019;kjønn samlet;25-29 år;grunnskole;26.0631834750911;
Horten;2019;kjønn samlet;30-39 år;grunnskole;21.8927444794953;
Horten;2019;kjønn samlet;40-44 år;grunnskole;16.2967660114141;
Horten;2019;kjønn samlet;45-74 år;grunnskole;18.1115718055032;
Horten;2019;kjønn samlet;75 år +;grunnskole;25.4118616144975;
Horten;2019;menn;25 år +;grunnskole;18.9740355303269;
Horten;2019;menn;25-29 år;grunnskole;26.8722466960352;
Horten;2019;menn;30-39 år;grunnskole;24.9844623990056;
Horten;2019;menn;40-44 år;grunnskole;17.3350582147477;
Horten;2019;menn;45-74 år;grunnskole;16.4227955333077;
Horten;2019;menn;75 år +;grunnskole;16.7152575315841;
Horten;2019;kvinner;25 år +;grunnskole;21.3104838709677;
Horten;2019;kvinner;25-29 år;grunnskole;25.0677506775068;
Horten;2019;kvinner;30-39 år;grunnskole;18.7059577194106;
Horten;2019;kvinner;40-44 år;grunnskole;15.2985074626866;
Horten;2019;kvinner;45-74 år;grunnskole;19.7305278700628;
Horten;2019;kvinner;75 år +;grunnskole;31.8084345961401;
Horten;2020;kjønn samlet;25 år +;grunnskole;19.9178540641955;
Horten;2020;kjønn samlet;25-29 år;grunnskole;26.7977873386601;
Horten;2020;kjønn samlet;30-39 år;grunnskole;21.1455108359133;
Horten;2020;kjønn samlet;40-44 år;grunnskole;17.2328597899938;
Horten;2020;kjønn samlet;45-74 år;grunnskole;17.9415335761651;
Horten;2020;kjønn samlet;75 år +;grunnskole;23.9952718676123;
Horten;2020;menn;25 år +;grunnskole;18.9781776812494;
Horten;2020;menn;25-29 år;grunnskole;27.3333333333333;
Horten;2020;menn;30-39 år;grunnskole;24.6051032806804;
Horten;2020;menn;40-44 år;grunnskole;18.8264058679707;
Horten;2020;menn;45-74 år;grunnskole;16.44963615473;
Horten;2020;menn;75 år +;grunnskole;15.7894736842105;
Horten;2020;kvinner;25 år +;grunnskole;20.8217270194986;
Horten;2020;kvinner;25-29 år;grunnskole;26.1348005502063;
Horten;2020;kvinner;30-39 år;grunnskole;17.5505050505051;
Horten;2020;kvinner;40-44 år;grunnskole;15.605493133583;
Horten;2020;kvinner;45-74 år;grunnskole;19.3618960802188;
Horten;2020;kvinner;75 år +;grunnskole;30.1030927835052;
Horten;2021;kjønn samlet;25 år +;grunnskole;19.8251023606126;
Horten;2021;kjønn samlet;25-29 år;grunnskole;27.7076411960133;
Horten;2021;kjønn samlet;30-39 år;grunnskole;22.0135467980296;
Horten;2021;kjønn samlet;40-44 år;grunnskole;16.9950738916256;
Horten;2021;kjønn samlet;45-74 år;grunnskole;17.8116810183452;
Horten;2021;kjønn samlet;75 år +;grunnskole;22.4467303453343;
Horten;2021;menn;25 år +;grunnskole;18.9832955248505;
Horten;2021;menn;25-29 år;grunnskole;29.2383292383292;
Horten;2021;menn;30-39 år;grunnskole;24.683925346177;
Horten;2021;menn;40-44 år;grunnskole;18.4431137724551;
Horten;2021;menn;45-74 år;grunnskole;16.5259117082534;
Horten;2021;menn;75 år +;grunnskole;15.1103565365026;
Horten;2021;kvinner;25 år +;grunnskole;20.6346058502727;
Horten;2021;kvinner;25-29 år;grunnskole;25.904486251809;
Horten;2021;kvinner;30-39 år;grunnskole;19.2186515437933;
Horten;2021;kvinner;40-44 år;grunnskole;15.4626108998733;
Horten;2021;kvinner;45-74 år;grunnskole;19.0354402630617;
Horten;2021;kvinner;75 år +;grunnskole;28.0440414507772;
Horten;2022;kjønn samlet;25 år +;grunnskole;19.3445243804956;
Horten;2022;kjønn samlet;25-29 år;grunnskole;25.5390835579515;
Horten;2022;kjønn samlet;30-39 år;grunnskole;21.3943746259725;
Horten;2022;kjønn samlet;40-44 år;grunnskole;18.0229053646775;
Horten;2022;kjønn samlet;45-74 år;grunnskole;17.5673148840688;
Horten;2022;kjønn samlet;75 år +;grunnskole;21.1640211640212;
Horten;2022;menn;25 år +;grunnskole;18.6913982878108;
Horten;2022;menn;25-29 år;grunnskole;26.8564356435644;
Horten;2022;menn;30-39 år;grunnskole;24.2298578199052;
Horten;2022;menn;40-44 år;grunnskole;19.2037470725995;
Horten;2022;menn;45-74 år;grunnskole;16.6379804934022;
Horten;2022;menn;75 år +;grunnskole;14.1119221411192;
Horten;2022;kvinner;25 år +;grunnskole;19.9725597804782;
Horten;2022;kvinner;25-29 år;grunnskole;23.9644970414201;
Horten;2022;kvinner;30-39 år;grunnskole;18.5006045949214;
Horten;2022;kvinner;40-44 år;grunnskole;16.7701863354037;
Horten;2022;kvinner;45-74 år;grunnskole;18.4561916956283;
Horten;2022;kvinner;75 år +;grunnskole;26.5917602996255;
Horten;2023;kjønn samlet;25 år +;grunnskole;19.3658827031855;
Horten;2023;kjønn samlet;25-29 år;grunnskole;24.3186582809224;
Horten;2023;kjønn samlet;30-39 år;grunnskole;22.6482923906531;
Horten;2023;kjønn samlet;40-44 år;grunnskole;17.4927113702624;
Horten;2023;kjønn samlet;45-74 år;grunnskole;17.6042541281836;
Horten;2023;kjønn samlet;75 år +;grunnskole;20.7387326330058;
Horten;2023;menn;25 år +;grunnskole;18.8524590163934;
Horten;2023;menn;25-29 år;grunnskole;26.3089005235602;
Horten;2023;menn;30-39 år;grunnskole;25.0585480093677;
Horten;2023;menn;40-44 år;grunnskole;18.6206896551724;
Horten;2023;menn;45-74 år;grunnskole;16.8539325842697;
Horten;2023;menn;75 år +;grunnskole;14.5073700543057;
Horten;2023;kvinner;25 år +;grunnskole;19.8598130841121;
Horten;2023;kvinner;25-29 år;grunnskole;22.0389805097451;
Horten;2023;kvinner;30-39 år;grunnskole;20.1226993865031;
Horten;2023;kvinner;40-44 år;grunnskole;16.3313609467456;
Horten;2023;kvinner;45-74 år;grunnskole;18.3247988295538;
Horten;2023;kvinner;75 år +;grunnskole;25.5716004813478;
Horten;2024;kjønn samlet;25 år +;grunnskole;19.0258527474688;
Horten;2024;kjønn samlet;25-29 år;grunnskole;23.5580264072272;
Horten;2024;kjønn samlet;30-39 år;grunnskole;21.3285671730712;
Horten;2024;kjønn samlet;40-44 år;grunnskole;18.1286549707602;
Horten;2024;kjønn samlet;45-74 år;grunnskole;17.4932789468805;
Horten;2024;kjønn samlet;75 år +;grunnskole;20.275139207337;
Horten;2024;menn;25 år +;grunnskole;18.7156696294817;
Horten;2024;menn;25-29 år;grunnskole;25.5050505050505;
Horten;2024;menn;30-39 år;grunnskole;23.8875878220141;
Horten;2024;menn;40-44 år;grunnskole;20.2066590126292;
Horten;2024;menn;45-74 år;grunnskole;16.7956218154369;
Horten;2024;menn;75 år +;grunnskole;14.7431124348474;
Horten;2024;kvinner;25 år +;grunnskole;19.326429884835;
Horten;2024;kvinner;25-29 år;grunnskole;21.1746522411128;
Horten;2024;kvinner;30-39 år;grunnskole;18.677986658581;
Horten;2024;kvinner;40-44 år;grunnskole;15.9713945172825;
Horten;2024;kvinner;45-74 år;grunnskole;18.1669096209913;
Horten;2024;kvinner;75 år +;grunnskole;24.6198830409357;
Holmestrand;2012;kjønn samlet;25 år +;grunnskole;25.3940110323089;
Holmestrand;2012;kjønn samlet;25-29 år;grunnskole;26.4516129032258;
Holmestrand;2012;kjønn samlet;30-39 år;grunnskole;21.0876803551609;
Holmestrand;2012;kjønn samlet;40-44 år;grunnskole;19.5395513577332;
Holmestrand;2012;kjønn samlet;45-74 år;grunnskole;24.9113366760426;
Holmestrand;2012;kjønn samlet;75 år +;grunnskole;40.9177820267686;
Holmestrand;2012;menn;25 år +;grunnskole;24.6470350947963;
Holmestrand;2012;menn;25-29 år;grunnskole;30.0917431192661;
Holmestrand;2012;menn;30-39 år;grunnskole;22.9583975346687;
Holmestrand;2012;menn;40-44 år;grunnskole;19.042189281642;
Holmestrand;2012;menn;45-74 år;grunnskole;24.554552111301;
Holmestrand;2012;menn;75 år +;grunnskole;31.9354838709677;
Holmestrand;2012;kvinner;25 år +;grunnskole;26.1070465922218;
Holmestrand;2012;kvinner;25-29 år;grunnskole;22.7777777777778;
Holmestrand;2012;kvinner;30-39 år;grunnskole;19.3594306049822;
Holmestrand;2012;kvinner;40-44 år;grunnskole;20.0734394124847;
Holmestrand;2012;kvinner;45-74 år;grunnskole;25.2696078431373;
Holmestrand;2012;kvinner;75 år +;grunnskole;46.7860906217071;
Holmestrand;2013;kjønn samlet;25 år +;grunnskole;25.0696018128844;
Holmestrand;2013;kjønn samlet;25-29 år;grunnskole;27.5510204081633;
Holmestrand;2013;kjønn samlet;30-39 år;grunnskole;21.5085884988798;
Holmestrand;2013;kjønn samlet;40-44 år;grunnskole;18.8778492109877;
Holmestrand;2013;kjønn samlet;45-74 år;grunnskole;24.3543758967001;
Holmestrand;2013;kjønn samlet;75 år +;grunnskole;39.5910780669145;
Holmestrand;2013;menn;25 år +;grunnskole;24.4005828586568;
Holmestrand;2013;menn;25-29 år;grunnskole;30.8712121212121;
Holmestrand;2013;menn;30-39 år;grunnskole;23.4123947972456;
Holmestrand;2013;menn;40-44 år;grunnskole;19.7247706422018;
Holmestrand;2013;menn;45-74 år;grunnskole;23.7902264600715;
Holmestrand;2013;menn;75 år +;grunnskole;31.3755795981453;
Holmestrand;2013;kvinner;25 år +;grunnskole;25.709219858156;
Holmestrand;2013;kvinner;25-29 år;grunnskole;24.3636363636364;
Holmestrand;2013;kvinner;30-39 år;grunnskole;19.6936542669584;
Holmestrand;2013;kvinner;40-44 år;grunnskole;17.9976162097735;
Holmestrand;2013;kvinner;45-74 år;grunnskole;24.9220436555529;
Holmestrand;2013;kvinner;75 år +;grunnskole;45.0879007238883;
Holmestrand;2014;kjønn samlet;25 år +;grunnskole;24.400299850075;
Holmestrand;2014;kjønn samlet;25-29 år;grunnskole;27.3029045643154;
Holmestrand;2014;kjønn samlet;30-39 år;grunnskole;20.9694793536804;
Holmestrand;2014;kjønn samlet;40-44 år;grunnskole;17.6931690929451;
Holmestrand;2014;kjønn samlet;45-74 år;grunnskole;23.7978810105949;
Holmestrand;2014;kjønn samlet;75 år +;grunnskole;38.527084601339;
Holmestrand;2014;menn;25 år +;grunnskole;23.7453944860882;
Holmestrand;2014;menn;25-29 år;grunnskole;29.5161290322581;
Holmestrand;2014;menn;30-39 år;grunnskole;22.707423580786;
Holmestrand;2014;menn;40-44 år;grunnskole;19.4013303769401;
Holmestrand;2014;menn;45-74 år;grunnskole;23.1339823829393;
Holmestrand;2014;menn;75 år +;grunnskole;30.4084720121029;
Holmestrand;2014;kvinner;25 år +;grunnskole;25.0337962394003;
Holmestrand;2014;kvinner;25-29 år;grunnskole;24.957264957265;
Holmestrand;2014;kvinner;30-39 år;grunnskole;19.2771084337349;
Holmestrand;2014;kvinner;40-44 år;grunnskole;15.9502262443439;
Holmestrand;2014;kvinner;45-74 år;grunnskole;24.4678362573099;
Holmestrand;2014;kvinner;75 år +;grunnskole;43.9918533604888;
Holmestrand;2015;kjønn samlet;25 år +;grunnskole;24.0716872276438;
Holmestrand;2015;kjønn samlet;25-29 år;grunnskole;27.7070063694268;
Holmestrand;2015;kjønn samlet;30-39 år;grunnskole;21.9241773962804;
Holmestrand;2015;kjønn samlet;40-44 år;grunnskole;16.7895632444697;
Holmestrand;2015;kjønn samlet;45-74 år;grunnskole;23.256343156218;
Holmestrand;2015;kjønn samlet;75 år +;grunnskole;36.7673179396092;
Holmestrand;2015;menn;25 år +;grunnskole;23.6424915740856;
Holmestrand;2015;menn;25-29 år;grunnskole;29.2079207920792;
Holmestrand;2015;menn;30-39 år;grunnskole;24.7357293868922;
Holmestrand;2015;menn;40-44 år;grunnskole;17.5339366515837;
Holmestrand;2015;menn;45-74 år;grunnskole;22.8046289993193;
Holmestrand;2015;menn;75 år +;grunnskole;29.6402877697842;
Holmestrand;2015;kvinner;25 år +;grunnskole;24.4868389277952;
Holmestrand;2015;kvinner;25-29 år;grunnskole;26.3076923076923;
Holmestrand;2015;kvinner;30-39 år;grunnskole;19.0268700072622;
Holmestrand;2015;kvinner;40-44 år;grunnskole;16.0409556313993;
Holmestrand;2015;kvinner;45-74 år;grunnskole;23.7106344135098;
Holmestrand;2015;kvinner;75 år +;grunnskole;41.7505030181087;
Holmestrand;2016;kjønn samlet;25 år +;grunnskole;23.7661397369374;
Holmestrand;2016;kjønn samlet;25-29 år;grunnskole;28.4937888198758;
Holmestrand;2016;kjønn samlet;30-39 år;grunnskole;22.5590412407473;
Holmestrand;2016;kjønn samlet;40-44 år;grunnskole;15.2287203242617;
Holmestrand;2016;kjønn samlet;45-74 år;grunnskole;22.9088085200799;
Holmestrand;2016;kjønn samlet;75 år +;grunnskole;35.3629976580796;
Holmestrand;2016;menn;25 år +;grunnskole;23.4941234084231;
Holmestrand;2016;menn;25-29 år;grunnskole;30.2652106084243;
Holmestrand;2016;menn;30-39 år;grunnskole;25;
Holmestrand;2016;menn;40-44 år;grunnskole;16.3360560093349;
Holmestrand;2016;menn;45-74 år;grunnskole;22.6319275778318;
Holmestrand;2016;menn;75 år +;grunnskole;28.4712482468443;
Holmestrand;2016;kvinner;25 år +;grunnskole;24.0304544373067;
Holmestrand;2016;kvinner;25-29 år;grunnskole;26.7387944358578;
Holmestrand;2016;kvinner;30-39 år;grunnskole;20.0851667849539;
Holmestrand;2016;kvinner;40-44 år;grunnskole;14.1379310344828;
Holmestrand;2016;kvinner;45-74 år;grunnskole;23.1884057971015;
Holmestrand;2016;kvinner;75 år +;grunnskole;40.3015075376884;
Holmestrand;2017;kjønn samlet;25 år +;grunnskole;23.4185813005729;
Holmestrand;2017;kjønn samlet;25-29 år;grunnskole;27.6176024279211;
Holmestrand;2017;kjønn samlet;30-39 år;grunnskole;22.9007633587786;
Holmestrand;2017;kjønn samlet;40-44 år;grunnskole;15.7743235463443;
Holmestrand;2017;kjønn samlet;45-74 år;grunnskole;22.435480373021;
Holmestrand;2017;kjønn samlet;75 år +;grunnskole;33.7471783295711;
Holmestrand;2017;menn;25 år +;grunnskole;23.3828461907044;
Holmestrand;2017;menn;25-29 år;grunnskole;30.4281345565749;
Holmestrand;2017;menn;30-39 år;grunnskole;26.432022084196;
Holmestrand;2017;menn;40-44 år;grunnskole;16.295427901524;
Holmestrand;2017;menn;45-74 år;grunnskole;22.0980223559759;
Holmestrand;2017;menn;75 år +;grunnskole;27.4324324324324;
Holmestrand;2017;kvinner;25 år +;grunnskole;23.4533379937085;
Holmestrand;2017;kvinner;25-29 år;grunnskole;24.8493975903615;
Holmestrand;2017;kvinner;30-39 år;grunnskole;19.3300767620377;
Holmestrand;2017;kvinner;40-44 år;grunnskole;15.2714932126697;
